tt9915824	7.9	33
tt9915832	8.3	36
tt9915864	7.8	45
tt9915898	9.1	141
tt9915906	7.8	89
tt9915910	8.7	104
tt9915912	7.4	80
tt9915928	7.3	41
tt9916038	5.6	7
tt9916114	8.1	25
tt9916118	7.1	8
tt9916120	7.1	9
tt9916132	3.6	7
tt9916160	6.5	38
tt9916192	7.4	9
tt9916200	8.3	159
tt9916204	8.1	185
tt9916206	2.2	15
tt9916220	6.5	8
tt9916316	8.4	5
tt9916348	9.3	13
tt9916380	9.1	101
tt9916420	7.1	7
tt9916428	4.1	11
tt9916538	8.4	5
tt9916544	7.2	24
tt9916576	5.5	10
tt9916578	8.2	21
tt9916580	7.2	5
tt9916690	6.6	5
tt9916720	5.8	60
tt9916766	6.9	14
tt9916778	7.3	24
